---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : B (all channels)
Init with Instrument : 4 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-00  -----51  ---B-1B  -----00  OFF2-02  A 4F104  C 5F104  E 5F104  OFF2-02  OFF2-02  F---A  00--------
00-01  -----00  A 4482F  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
00-02  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---A  00--------
00-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
00-04  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
00-05  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
00-06  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-07  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
00-08  -----51  A 4482F  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---A  00--------
00-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
00-10  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---A  00--------
00-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
00-12  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
00-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
00-14  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
00-16  -----51  A 4482F  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---A  00--------
00-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
00-18  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---A  00--------
00-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
00-20  C 4E44C  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-A  00--------
00-21  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
00-22  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-23  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---C  00--------
00-24  C 4E44C  D 55A2F  -----00  -----00  D 5F104  F#5F104  A 5F104  -----00  -----00  FFF-A  00--------
00-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----C  00--------
