---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-00  -----51  D 4BF05  A 4BF05  -----00  D 5F104  F#5F104  A 5F104  ----406  ----406  F---D  00--------
00-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-02  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
00-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-04  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----D  00--------
00-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-06  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F----  00--------
00-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-08  -----4D  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
00-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-10  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-12  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F---D  00--------
00-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-14  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F----  00--------
00-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-16  -----51  D 5BF05  A 5BF05  -----00  D 6F104  F#6F104  A 6F104  -----00  -----00  F---D  00--------
00-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-18  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
00-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-20  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----D  00--------
00-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-22  -----51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  F----  00--------
