---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-00  G 2C205  B 4C205  G 4C205  G 2FF04  OFF2-02  OFF2-02  OFF2-02  B 6D004  G 6D004  -----  3BBRASS---
00-01  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-02  G 2C205  B 4C205  G 4C205  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
00-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-04  G 2C205  B 4C205  G 4C205  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
00-05  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-06  G 2C205  B 4C005  G 4C005  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
00-07  -----00  B 4C005  G 4C005  -----00  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
00-08  G 2C205  B 4C205  G 4C205  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
00-09  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-10  G 2C205  B 4C205  G 4C205  G 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
00-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-12  G 2C205  A#4C205  F#4C205  G 2FF04  -----00  -----00  -----00  A#6D004  F#6D004  -----  00--------
00-13  G 3C205  A 4C205  F 4C205  G 3FF04  -----00  -----00  -----00  A 6D004  F 6D004  -----  00--------
00-14  G 2C205  G 4C205  E 4C205  G 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  -----  00--------
00-15  -----00  F 4C205  D#4C205  -----00  -----00  -----00  -----00  F 6D004  D#6D004  -----  00--------
00-16  D 2C205  F#4C205  D 4C205  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
00-17  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-18  D 2C205  F#4C205  D 4C205  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
00-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-20  D 2C205  F#4C005  D 4C005  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
00-21  D 3C205  F#4C205  D 4C205  D 3FF04  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
00-22  D 2C205  -----00  -----00  D 2FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-23  -----00  F#4C005  D 4C005  -----00  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
00-24  D 2C205  F#4C205  D 4C205  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
00-25  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-26  D 2C205  F#4C205  D 4C205  D 2FF04  -----00  -----00  -----00  F#6D004  D 6D004  -----  00--------
00-27  -----00  G 4C205  D#4C205  -----00  -----00  -----00  -----00  G 6D004  D#6D004  -----  00--------
00-28  D 2C205  A 4C205  E 4C205  D 2FF04  -----00  -----00  -----00  A 6D004  E 6D004  -----  00--------
00-29  D 3C205  A#4C205  F#4C205  D 3FF04  -----00  -----00  -----00  A#6D004  F#6D004  -----  00--------
00-30  D 2C205  B 4C005  G 4C205  D 2FF04  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
00-31  -----00  B 4C205  G#4C205  -----00  -----00  -----00  -----00  B 6D004  G#6D004  -----  00--------
00-32  A 2C205  C 5C205  A 4C205  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
00-33  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-34  A 2C205  C 5C205  A 4C205  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
00-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-36  A 2C205  C 5C005  A 4C005  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
00-37  A 3C205  C 5C005  A 4C005  A 3FF04  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
00-38  A 2C205  C 5C205  A 4C205  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
00-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-40  A 2C205  C 5C205  A 4C205  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
00-41  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-42  A 2C205  C 5C005  A 4C005  A 2FF04  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
00-43  -----00  C 5C205  A 4C205  -----00  -----00  -----00  -----00  C 7D004  A 6D004  -----  00--------
00-44  A 2C205  B 4C005  G#4C205  A 2FF04  -----00  -----00  -----00  B 6D004  G#6D004  -----  00--------
00-45  A 3C205  B 4C205  G 4C205  A 3FF04  -----00  -----00  -----00  B 6D004  G 6D004  -----  00--------
00-46  A 2C205  A 4C205  F#4C205  A 2FF04  -----00  -----00  -----00  A 6D004  F#6D004  -----  00--------
00-47  -----00  G#4C205  F 4C205  -----00  -----00  -----00  -----00  G#6D004  F 6D004  -----  00--------
00-48  E 2C205  G 4C205  E 4C205  E 2FF04  -----00  -----00  -----00  G 6D004  E 6D004  -----  00--------
00-49  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
