---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-00  G 2C205  ---B-1B  D 5BF05  G 2FF04  G 4F104  B 4F104  D 5F104  OFF2-02  D 5F004  F---9  10FLUTE4--
00-01  -----00  G 46A2E  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-02  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
00-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-04  G 2C205  G 46A2E  -----00  G 2FF04  -----00  -----00  -----00  -----00  ----F06  F---9  00--------
00-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-06  G 3C205  G 46A2E  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
00-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-08  G 2C205  G 46A2E  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  ----9  00--------
00-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-10  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
00-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-12  G 2C205  G 46A2E  A 4BF05  G 2FF04  -----00  -----00  -----00  -----00  A 4F004  ----9  00--------
00-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-14  G 3C205  G 46A2E  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
00-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
00-16  A#2C205  A#4492E  A#4BF05  A#2FF04  A#4F104  C#5F104  F 5F104  -----00  A#4F004  F---9  00--------
