---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-00  G 2C205  G 4C805  G 1C105  G 3FF04  G 5F104  B 5F104  D 6F104  G 2FF04  OFF2-02  -----  29SAXOPHO3
00-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ---F116  -----00  -----  00--------
00-02  G 2C205  -----00  G 1C105  G 3FF04  OFF2-02  OFF2-02  OFF2-02  G 2F13C  -----00  -----  00--------
00-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-04  G 2C205  G 4C205  G 1C105  G 3FF04  G 5F104  B 5F104  D 6F104  G 2F13C  -----00  -----  00--------
00-05  -----00  -----00  -----00  -----00  OFF1-01  OFF1-01  OFF1-01  -----00  -----00  -----  00--------
00-06  G 2C205  G 4C805  G 1C105  G 3FF04  G 5F104  B 5F104  D 6F104  G 2F13C  -----00  -----  00--------
00-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-08  G 2C205  -----00  G 1C105  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  -----  00--------
00-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-10  G 2C205  -----00  G 1C105  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  -----  00--------
00-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-12  G 2C205  -----00  G 1C105  G 3FF04  ----806  ----806  ----806  G 2F13C  -----00  -----  00--------
00-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-14  G 2C205  -----00  G 1C105  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  -----  00--------
00-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-16  F#2C205  F#4CF05  F#1C105  F#3FF04  F#5F104  A#5F104  C#6F104  F#2F13C  -----00  -----  00--------
00-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-18  F#2C205  -----00  F#1C105  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  -----  00--------
00-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-20  F#2C205  -----00  F#1C105  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  -----  00--------
00-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-22  F#2C205  -----00  F#1C105  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  -----  00--------
00-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-24  F#2C205  -----00  F#1C105  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  -----  00--------
00-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-26  F#2C205  -----00  F#1C105  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  -----  00--------
00-27  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-28  F#2C205  -----00  F#1C105  F#3FF04  ----806  ----806  ----806  F#2F13C  -----00  -----  00--------
00-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-30  F#2C205  -----00  F#1C105  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  -----  00--------
00-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-32  F 2C205  F 4C805  F 1C105  F 3FF04  F 5F104  A 5F104  C 6F104  F 2F13C  -----00  -----  00--------
00-33  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-34  F 2C205  -----00  F 1C105  F 3FF04  OFF2-02  OFF2-02  OFF2-02  F 2F13C  -----00  -----  00--------
00-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-36  F 2C205  F 4C205  F 1C105  F 3FF04  F 5F104  A 5F104  C 6F104  F 2F13C  -----00  -----  00--------
00-37  -----00  -----00  -----00  -----00  OFF1-01  OFF1-01  OFF1-01  -----00  -----00  -----  00--------
00-38  F 2C205  F 4C805  F 1C105  F 3FF04  F 5F104  A 5F104  C 6F104  F 2F13C  -----00  -----  00--------
00-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-40  F 2C205  -----00  F 1C105  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  -----  00--------
00-41  -----00  -----00  -----00  -----00  OFF1-01  OFF1-01  OFF1-01  -----00  -----00  -----  00--------
00-42  F 2C205  F 4C805  F 1C105  F 3FF04  F 5F104  A 5F104  C 6F104  F 2F13C  -----00  -----  00--------
00-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-44  F 2C205  -----00  F 1C105  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  -----  00--------
00-45  -----00  -----00  -----00  -----00  OFF1-01  OFF1-01  OFF1-01  -----00  -----00  -----  00--------
00-46  F 2C205  F 4C205  F 1C105  F 3FF04  F 5F104  A 5F104  C 6F104  F 2F13C  -----00  -----  00--------
00-47  -----00  -----00  -----00  -----00  OFF1-01  OFF1-01  OFF1-01  -----00  -----00  -----  00--------
00-48  E 2C205  E 4CF05  E 1C105  E 3FF04  E 5F104  G 5F104  B 5F104  E 2F13C  -----00  -----  00--------
00-49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-50  E 2C205  -----00  E 1B105  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -----  00--------
00-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-52  E 2C205  -----00  E 1A105  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -----  00--------
00-53  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-54  E 2C205  -----00  E 19105  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -----  00--------
00-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-56  E 2C205  -----00  E 18105  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -----  00--------
00-57  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-58  E 2C205  -----00  E 17105  E 3FF04  -----00  -----00  -----00  E 2F13C  -----00  -----  00--------
00-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
00-60  E 2C205  E 4C405  A 5CF05  E 3FF04  E 5F104  G 5F104  B 5F104  E 2F13C  A 5F004  -----  00--------
00-61  -----00  F 4C405  -----00  -----00  F 5F104  A 5F104  C 6F104  -----00  -----00  -----  00--------
00-62  E 2C205  F#4C405  ---C00B  E 3FF04  F#5F104  A#5F104  C#6F104  E 2F13C  ---F10B  -----  00--------
00-63  -----00  G 4C405  -----00  -----00  G 5F104  B 5F104  D 6F104  -----00  -----00  -----  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-00  G 2C205  G 46A2D  B 5C24E  G 3FF04  G 5F104  B 5F104  D 6F104  G 2F13C  B 5F004  F---D  00--------
01-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-02  G 2C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  ----D  00--------
01-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-04  C 4F44C  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  FFF-D  00--------
01-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-06  G 2C205  -----00  D 6C24E  G 3FF04  -----00  -----00  -----00  G 2F13C  D 6F004  ----D  00--------
01-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-08  G 2C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  F---D  00--------
01-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-10  G 2C205  -----00  E 6C24E  G 3FF04  -----00  -----00  -----00  G 2F13C  E 6F004  ---FD  00--------
01-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-12  G 2C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  ---F10B  ----D  00--------
01-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-14  G 2C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  F---D  00--------
01-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-16  F#2C205  F#46A2D  F#6C24E  F#3FF04  F#5F104  A#5F104  C#6F104  F#2F13C  F#6F004  F---D  00--------
01-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-18  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  ----D  00--------
01-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-20  C 4F44C  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  FFF-D  00--------
01-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-22  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  ----D  00--------
01-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-24  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  F---D  00--------
01-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-26  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  ---FD  00--------
01-27  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-28  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  F---D  00--------
01-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
01-30  F#2C205  -----00  A#6C24E  F#3FF04  -----00  -----00  -----00  F#2F13C  A#6F004  ---FD  00--------
01-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
