---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 05-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
00-00  C 2C105  -----00  OFF1-01  C 4FF04  C 3FF04  OFF2-02  OFF2-02  OFF2-02  -----00  F--DE  00--------
00-01  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
00-02  C 4D44C  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-03  -----00  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-04  C 2C105  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
00-05  D 2C105  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-06  C 4D44C  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-07  -----00  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-08  F 2C105  -----00  -----00  F 4FF04  F 3FF04  -----00  -----00  -----00  -----00  F--DE  00--------
00-09  G 2C105  -----00  -----00  G 4FF04  G 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
00-10  C 4D44C  G 2C105  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-11  -----00  G 2C105  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-12  F 2C105  -----00  -----00  F 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
00-13  G 2C105  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-14  C 4D44C  G 2C105  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-15  -----00  G 2C105  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-16  C 2C105  -----00  -----00  C 4FF04  C 3FF04  -----00  -----00  -----00  -----00  F--DE  00--------
00-17  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
00-18  C 4D44C  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-19  -----00  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-20  C 2C105  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
00-21  D 2C105  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-22  C 4D44C  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-23  -----00  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-24  B 1C105  -----00  -----00  B 3FF04  B 2FF04  -----00  -----00  -----00  -----00  F--DE  00--------
00-25  C 2C105  -----00  -----00  C 4FF04  C 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
00-26  C 4D44C  C 2C105  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-27  C 4D44C  C 2C105  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-28  C 4D44C  B 1C105  -----00  B 3FF04  -----00  -----00  -----00  -----00  -----00  FFFDE  00--------
00-29  C 4D44C  C 2C105  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-30  C 4D44C  C 2C105  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-31  C 4D44C  C 2C105  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-32  C 4D44C  C 2C105  -----00  C 4FF04  C 3FF04  -----00  -----00  -----00  -----00  FFFDE  00--------
00-33  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
00-34  C 4D44C  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-35  -----00  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-36  C 2C105  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
00-37  D 2C105  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-38  C 4D44C  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-39  -----00  D 2C105  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-40  F 2C105  -----00  -----00  F 4FF04  F 3FF04  -----00  -----00  -----00  -----00  F--DE  00--------
00-41  G 2C105  -----00  -----00  G 4FF04  G 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
00-42  C 4D44C  G 2C105  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-43  -----00  G 2C105  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-44  F 2C105  -----00  -----00  F 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
00-45  G 2C105  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-46  C 4D44C  G 2C105  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-47  -----00  G 2C105  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-48  G 2C105  -----00  -----00  G 4FF04  G 3FF04  -----00  -----00  -----00  -----00  F--DE  00--------
00-49  A 2C105  -----00  -----00  A 4FF04  A 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
00-50  C 4D44C  A 2C105  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-51  -----00  A 2C105  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-52  G 2C105  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
00-53  A 2C105  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-54  C 4D44C  A 2C105  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-55  -----00  A 2C105  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-56  B 2C105  -----00  -----00  B 4FF04  B 3FF04  -----00  -----00  -----00  -----00  F--DE  00--------
00-57  C 3C105  -----00  -----00  C 5FF04  C 4FF04  -----00  -----00  -----00  -----00  ----E  00--------
00-58  C 4D44C  C 3C105  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-59  -----00  C 3C105  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
00-60  C 4D44C  B 2C105  -----00  B 4FF04  -----00  -----00  -----00  -----00  -----00  FFFDE  00--------
00-61  C 4D44C  C 3C105  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-62  C 4D44C  C 3C105  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
00-63  C 3C105  ---B-1B  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-00  C 2C105  D 45A2D  D 5BF05  C 4FF04  C 3FF04  D 5F104  F#5F104  A 5F104  D 6F004  F--DE  0BSYNTH5--
01-01  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
01-02  C 4D44C  -----00  D 5BF05  D 4FF04  -----00  -----00  -----00  -----00  D 6F004  -FF-E  00--------
01-03  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
